Report,Rank History
App ID,com.zing.zalo
App,Zalo
Market,Google Play
Countries,Vietnam
Device,-
Start Date,07/21/2012
End Date,02/08/2017
Date Generated,02/07/2017 23:00:39 PST

Platform,Device,Country Name,App ID,App Name,Publisher ID,Publisher Name,Date,Type,Overall,Applications,Communication (Applications),Lifestyle (Applications)
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/01/2013,Downloads,16,10,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/02/2013,Downloads,14,9,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/03/2013,Downloads,12,8,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/04/2013,Downloads,13,9,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/05/2013,Downloads,12,9,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/06/2013,Downloads,12,9,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/07/2013,Downloads,12,9,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/08/2013,Downloads,11,8,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/09/2013,Downloads,13,9,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/10/2013,Downloads,15,10,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/11/2013,Downloads,15,10,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/12/2013,Downloads,15,10,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/13/2013,Downloads,15,10,3,0
Google Play,-,Vietnam,com.zing.zalo,Zalo,20200001830257,Zalo Group,02/14/2013,Downloads,15,10,3,0
